,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
3421,,,51109,Other passenger air-transport n.e.c,,,,,,,,
3422,512,,,Freight air transport,,,,,,,,
3423,,5120,,Freight air transport,,,,,,,,
3424,,,51201,Freight air transport services,,,,,,,,
3425,,,51202,Launching of satellites and space vehicles and space transport,,,,,,,,
3426,DiviSion 52 : WarehouSinG anD Support aCtivitieS For tranSportation,,,,,,,,,,,
3427,521,,,Warehousing and storage,,,,,,,,
3428,,5210,,Warehousing and storage,,,,,,,,
3429,,,,This class excludes:,,,,,,,,
3430,,,,"- parking facilities for motor vehicles, see 5221",,,,,,,,
3431,,,,"- operation of self storage facilities, see 6810",,,,,,,,
3432,,,,"- rental of vacant space, see 6810",,,,,,,,
3433,,,52101,Warehousing of refrigerated (cold storage),,,,,,,,
3434,,,52102,Warehousing non-refrigerated,,,,,,,,
3435,,,52109,Storage and warehousing n.e.c.[Includes general merchandise warehouses,,,,,,,,
3436,,,,"and warehousing of furniture, automobiles, gas and oil, chemicals, textiles",,,,,,,,
3437,,,,etc. Also included is storage of goods in foreign trade zones],,,,,,,,
3438,522,,,Support activities for transportation,,,,,,,,
3439,,5221,,Service activities incidental to land transportation,,,,,,,,
3440,,,,This class excludes:,,,,,,,,
3441,,,,"- cargo handling, see 5224",,,,,,,,
3442,,,52211,Car parking including motorcycle and bicycle parking,,,,,,,,
3443,,,52212,"Support service at railway stations, bus stations, bridges etc.",,,,,,,,
3444,,,52213,Switching and shunting,,,,,,,,
3445,,,52219,Other land transport services n.e.c,,,,,,,,
3446,,5222,,Service activities incidental to water transportation,,,,,,,,
3447,,,,"This class includes operation of terminal facilities such as harbours and piers,",,,,,,,,
3448,,,,"operation of waterway locks, navigation, pilotage and berthing activities,",,,,,,,,
3449,,,,"lighterage, salvage activities, lighthouse activities",,,,,,,,
3450,,,,This class excludes:,,,,,,,,
3451,,,,"- cargo handling, see 5224",,,,,,,,
3452,,,,"- operation of marinas, see 9329",,,,,,,,
3453,,,52220,Service activities incidental to water transportation,,,,,,,,
3454,,5223,,,,,,,,,,
3455,,,,,,,,,,,,
3456,,,,,,,,,,,,
3457,,,,,,,,,,,,
3458,,,,,,,,,,,,
3459,,,52231,,,,,,,,,
3460,,,52232,,,,,,,,,
3461,,5224,,,,,,,,,,
3462,,,,,,,,,,,,
3463,,,,,,,,,,,,
3464,,,52241,,,,,,,,,
3465,,,52242,,,,,,,,,
3466,,,52243,,,,,,,,,
3467,,5229,,,,,,,,,,
3468,,,,,,,,,,,,
3469,,,,,,,,,,,,
3470,,,,,,,,,,,,
3471,,,,,,,,,,,,
3472,,,,,,,,,,,,
3473,,,,,,,,,,,,
3474,,,52291,,,,,,,,,
3475,,,52292,,,,,,,,,
3476,,,52293,,,,,,,,,
3477,,,52294,,,,,,,,,
3478,531,,,,,,,,,,,
3479,,5310,,,,,,,,,,
3480,,,,,,,,,,,,
3481,,,53100,,,,,,,,,
3482,532,,,,,,,,,,,
3483,,5320,,,,,,,,,,
3484,,,,,,,,,,,,
3485,,,53200,,,,,,,,,
3486,551,,,,,,,,,,,
3487,,5510,,,,,,,,,,
3488,,,,,,,,,,,,
3489,,,,,,,,,,,,
3490,,,55101,"Hotels and Motels, inns, resorts providing short term lodging facilities;",,,,,,,,
3491,,,,includes accommodation in house boats,,,,,,,,
3492,,,55102,Provision of short term lodging facilities to members of a particular,,,,,,,,
3493,,,,"organisition such as govt. guest houses, company guest houses, circuit",,,,,,,,
3494,,,,houses and similar establishments,,,,,,,,
3495,,,55109,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private",,,,,,,,
3496,,,,guest houses etc.),,,,,,,,
3497,552,,,"Camping grounds, recreational vehicle parks and trailer parks",,,,,,,,
3498,,5520,,"Camping grounds, recreational vehicle parks and trailer parks",,,,,,,,
3499,,,,"This class includes provision of accommodation in campgrounds, trailer",,,,,,,,
3500,,,,"parks, recreational camps and fishing and hunting camps for short stay visitors,",,,,,,,,
3501,,,,"provision of space and facilities for recreational vehicles, accommodation",,,,,,,,
3502,,,,provided by mountain shelters,,,,,,,,
3503,,,55200,"Camping grounds, recreational vehicle parks and trailer parks",,,,,,,,
3504,559,,,other accommodation,,,,,,,,
3505,,5590,,other accommodation,,,,,,,,
3506,,,55901,"Accommodation provided by student residences, school dormitories",,,,,,,,
3507,,,55902,Worker hostels and boarding houses,,,,,,,,
3508,,,,DiviSion 56 : FooD anD beveraGe ServiCe aCtivitieS,,,,,,,,
3509,561,,,restaurants and mobile food service activities,,,,,,,,
3510,,5610,,restaurants and mobile food service activities,,,,,,,,
3511,,,,This class excludes:,,,,,,,,
3512,,,,"- concession operation of eating facilities, see 5629",,,,,,,,
3513,,,56101,Restaurants without bars,,,,,,,,
3514,,,56102,"Cafeterias, fast-food restaurants and other food preparation in market stalls",,,,,,,,
3515,,,56103,"Ice cream mobile vendors, mobile food carts",,,,,,,,
3516,,,56104,"Restaurant and bar activities connected to transportation, when carried out",,,,,,,,
3517,,,,by separate units,,,,,,,,
3518,562,,,event catering and other food service activities,,,,,,,,
3519,,5621,,event catering,,,,,,,,
3520,,,,This class includes food services based on contractual arrangements with the,,,,,,,,
3521,,,,"customer, at the location specified by the customer, for a specific event",,,,,,,,
3522,,,56210,Event catering,,,,,,,,
3523,,5629,,other food service activities,,,,,,,,
3524,,,,This class excludes:,,,,,,,,
3525,,,,"- manufacture of perishable food items for resale, see 1079",,,,,,,,
3526,,,,"- retail sale of perishable food items, see division 47",,,,,,,,
3527,,,56291,Activities of food service contractors (e.g. for transportation companies),,,,,,,,
3528,,,56292,"Operation of canteens or (e.g. for factories, offices, hospitals or schools) on",,,,,,,,
3529,,,,a concession basis,,,,,,,,
3530,563,,,beverage serving activities,,,,,,,,
3531,,5630,,beverage serving activities,,,,,,,,
3532,,,,This class excludes:,,,,,,,,
3533,,,,"- reselling packaged/prepared beverages, see 4711, 4722, 4781, 4799",,,,,,,,
3534,,,,#NAME?,,,,,,,,
3535,,,9329,9329,,,,,,,,
3536,,,56301,Bars and Restaurants with bars,,,,,,,,
3537,,,56302,Tea/coffee shops,,,,,,,,
3538,,,56303,Fruit juice bars,,,,,,,,
3539,,,56304,Mobile beverage vendors,,,,,,,,
3540,,,SECTION J : INFORMATION AND COMMUNICATION,,,,,,,,,
3541,,,,DiviSion 58 : publiShinG aCtivitieS,,,,,,,,
3542,581,,,"publishing of books, periodicals and other publishing activities",,,,,,,,
3543,,5811,,book publishing,,,,,,,,
3544,,,,"This class includes the activities of publishing books in print, electronic or",,,,,,,,
3545,,,,audio form or on the internet,,,,,,,,
3546,,,,This class excludes:,,,,,,,,
3547,,,,"- production of globes, see 3299",,,,,,,,
3548,,,,"- publishing of advertising material, see 5819",,,,,,,,
3549,,,,"- publishing of music and sheet books, see 5920",,,,,,,,
3550,,,,"- activities of independent authors, see 7490, 9000",,,,,,,,
3551,,,58111,"Publishing of books, brochures, leaflets and similar publications, including",,,,,,,,
3552,,,,publishing encyclopedias (including on CD-ROM),,,,,,,,
3553,,,58112,"Publishing of atlases, maps and charts",,,,,,,,
3554,,,58113,Publishing of audio books,,,,,,,,
3555,,5812,,publishing of directories and mailing lists,,,,,,,,
3556,,,58121,Publishing of mailing lists and telephone directories,,,,,,,,
3557,,,58122,"Publishing of other directories and compilations, such as case law,",,,,,,,,
3558,,,,pharmaceutical compendia etc.,,,,,,,,
3559,,5813,,"publishing of newspapers, journals and periodicals",,,,,,,,
3560,,,,"This class includes the activities in print or electronic form, including on the",,,,,,,,
3561,,,,Internet. Publishing of radio and television schedules is included here.,,,,,,,,
3562,,,58131,Publishing of newspapers,,,,,,,,
3563,,,58132,Publishing of journals and periodicals,,,,,,,,
3564,,5819,,other publishing activities,,,,,,,,
3565,,,,This class excludes:,,,,,,,,
3566,,,,"- retail sale of software, see 4741",,,,,,,,
3567,,,,"- publishing of advertising newspapers, see 5813",,,,,,,,
3568,,,,- on-line provision of software (application hosting and application service,,,,,,,,
3569,,,,"provisioning), see 6311",,,,,,,,
3570,,,58191,On-line publishing of statistics and other information,,,,,,,,
3571,,,58199,Other publishing activities (including on-line) n.e.c.,,,,,,,,
3572,582,,,Software publishing,,,,,,,,
3573,,5820,,Software publishing,,,,,,,,
3574,,,,This class excludes:,,,,,,,,
3575,,,,"- reproduction of software, see 1820",,,,,,,,
3576,,,,"- retail sale of non-customized software, see 4741",,,,,,,,
3577,,,,,,,,,,,,
3578,,,,,,,,,,,,
3579,,,58201,,,,,,,,,
3580,,,58202,,,,,,,,,
3581,,,58203,,,,,,,,,
3582,591,,,,,,,,,,,
3583,,5911,,,,,,,,,,
3584,,,,,,,,,,,,
3585,,,,,,,,,,,,
3586,,,,,,,,,,,,
3587,,,,,,,,,,,,
3588,,,,,,,,,,,,
3589,,,,,,,,,,,,
3590,,,,,,,,,,,,
3591,,,,,,,,,,,,
3592,,,,,,,,,,,,
3593,,,,,,,,,,,,
3594,,,,,,,,,,,,
3595,,,,,,,,,,,,
3596,,,,,,,,,,,,
3597,,,59111,,,,,,,,,
3598,,,59112,,,,,,,,,
3599,,,59113,,,,,,,,,
3600,,5912,,,,,,,,,,
3601,,,,,,,,,,,,
3602,,,,,,,,,,,,
3603,,,,,,,,,,,,
3604,,,,,,,,,,,,
3605,,,,,,,,,,,,
3606,,,,,,,,,,,,
3607,,,,,,,,,,,,
3608,,,,,,,,,,,,
3609,,,59121,,,,,,,,,
3610,,,59122,,,,,,,,,
3611,,,59123,,,,,,,,,
3612,,5913,,"motion picture, video and television programme distribution activities",,,,,,,,
3613,,,59131,Motion picture distribution,,,,,,,,
3614,,,59132,"Distribution of video tapes, CD and DVDs",,,,,,,,
3615,,,59133,Distribution of television programme,,,,,,,,
3616,,5914,,motion picture projection activities,,,,,,,,
3617,,,59141,"Motion picture or video tape projection in cinemas, in the open air or in",,,,,,,,
3618,,,,other projection facilities,,,,,,,,
3619,,,59142,Activities of cine-clubs,,,,,,,,
3620,592,,,Sound recording and music publishing activities,,,,,,,,
3621,,5920,,Sound recording and music publishing activitiest,,,,,,,,
3622,,,,This includes the activities of production of original (sound) master,,,,,,,,
3623,,,,"recordings, such as tapes, CD-s. This class also includes the activities of",,,,,,,,
3624,,,,music publishing,,,,,,,,
3625,,,59201,Activities of sound recording in studio or elsewhere,,,,,,,,
3626,,,59202,Activities of misic publishing,,,,,,,,
3627,,,DiviSion 60 : proGramminG anD broaDCaStinG aCtivitieS,,,,,,,,,
3628,601,,,radio broadcasting,,,,,,,,
3629,,6010,,radio broadcasting,,,,,,,,
3630,,,,This class includes broadcasting audio signals through radio broadcasting,,,,,,,,
3631,,,,"studios and facilities for the transmission of aural programming to the public,",,,,,,,,
3632,,,,"to affiliates or to subscribers, activities of radio networks, i.e. assembling",,,,,,,,
3633,,,,and transmitting aural programming to the affiliates or subscribers via over-,,,,,,,,
3634,,,,"the-air broadcasts, cable or satellite, radio broadcasting activities over the",,,,,,,,
3635,,,,Internet (Internet radio stations),,,,,,,,
3636,,,,This class excludes:,,,,,,,,
3637,,,,"- the production of taped radio programming, see class 5920",,,,,,,,
3638,,,60100,Radio broadcasting,,,,,,,,
3639,602,,,television programming and broadcasting activities,,,,,,,,
3640,,6020,,television programming and broadcasting activities,,,,,,,,
3641,,,,"This class includes creation of a complete television channel programme,",,,,,,,,
3642,,,,"from purchased programme components (e.g. movies, documentaries etc.),",,,,,,,,
3643,,,,"self produced programme components (e.g. local news, live reports) or a",,,,,,,,
3644,,,,combination thereof. This complete television programme can be either,,,,,,,,
3645,,,,broadcast by the producing unit or produced for transmission by third party,,,,,,,,
3646,,,,"distributors, such as cable companies or satellite television providers. The",,,,,,,,
3647,,,,programming may be of a general or specialized nature (e.g. limited formats,,,,,,,,
3648,,,,"such as news, sports, education or youth oriented programming), may be",,,,,,,,
3649,,,,made freely available to users or may be available only on a subscription,,,,,,,,
3650,,,,"basis. This class also includes programming of video-on-demand channels,",,,,,,,,
3651,,,,data broadcasting integrated with television broadcasting.,,,,,,,,
3652,,,,This class excludes:,,,,,,,,
3653,,,,"- production of television programme elements (e.g. movies, documentaries,",,,,,,,,
3654,,,,"commercials), see 5911",,,,,,,,
3655,,,,#NAME?,,,,,,,,
3656,,,,"cable or satellite to viewers, see division 61",,,,,,,,
3657,,,,DiviSion 61 : teleCommuniCationS,,,,,,,,
3658,611,,,Wired telecommunications activities,,,,,,,,
3659,,6110,,Wired telecommunications activities,,,,,,,,
3660,,,61101,"Activities of basic telecom services: telephone, telex and telegraph (includes",,,,,,,,
3661,,,,the activities of STD/ISD booths),,,,,,,,
3662,,,61102,Maintenance of telecom network,,,,,,,,
3663,,,61103,Activities of the cable operators,,,,,,,,
3664,,,61104,Activities of providing internet access by the operator of the wired,,,,,,,,
3665,,,,infrastructure,,,,,,,,
3666,612,,,Wireless telecommunications activities,,,,,,,,
3667,,6120,,Wireless telecommunications activities,,,,,,,,
3668,,,61201,Activities of Internet access by the operator of the wireless infrastructure,,,,,,,,
3669,,,61202,"Activities of maintaining and operating pageing, cellur and other",,,,,,,,
3670,,,,tetecommunication networks,,,,,,,,
3671,,,61209,Activities of other wireless telecommunications activities,,,,,,,,
3672,613,,,Satellite telecommunications activities,,,,,,,,
3673,,6130,,Satellite telecommunications activities,,,,,,,,
3674,,,61301,Activity of Internet access by the operator of the satellite infrastructure,,,,,,,,
3675,,,61309,Other satellite telecommunications activities,,,,,,,,
3676,619,,,other telecommunications activities,,,,,,,,
3677,,6190,,other telecommunications activities,,,,,,,,
3678,,,,"This class includes specialized telecommunications applications, such as",,,,,,,,
3679,,,,"satellite tracking, communications telemetry, and radar station operations,",,,,,,,,
3680,,,,"operation of satellite terminal station, internet access over networks such as",,,,,,,,
3681,,,,dial-up internet access etc.,,,,,,,,
3682,,,61900,Other telecommunications activities,,,,,,,,
3683,"DiviSion 62 : Computer proGramminG, ConSultanCy anD relateD aCtivitieS",,,,,,,,,,,
3684,620,,,"Computer programming, consultancy and related activities",,,,,,,,
3685,,6201,,Computer programming activities,,,,,,,,
3686,,,,This class excludes:,,,,,,,,
3687,,,,"- publishing packaged software, see 5820",,,,,,,,
3688,,,,"- planning and designing computer systems that integrate computer hardware,",,,,,,,,
3689,,,,"software and communication technologies, even though providing software",,,,,,,,
3690,,,,"might be an integral part, see 6202",,,,,,,,
3691,,,62011,"Writing , modifying, testing of computer program to meet the needs of a",,,,,,,,
3692,,,,particular client excluding web-page designing,,,,,,,,
3693,,,62012,Web-page designing,,,,,,,,
3694,,,62013,Providing software support and maintenance to the clients,,,,,,,,
3695,6202,,,Computer consultancy and computer facilities management activities,,,,,,,,
3696,,,,"This class includes installation of computer system, and train and support the",,,,,,,,
3697,,,,users of the system and providing hardware support including Planning and,,,,,,,,
3698,,,,"designing of computer systems that integrate computer hardware, software",,,,,,,,
3699,,,,and communication technologies,,,,,,,,
3700,,,62020,Computer consultancy and computer facilities management activities,,,,,,,,
3701,,6209,,,,,,,,,,
3702,,,,,,,,,,,,
3703,,,,,,,,,,,,
3704,,,62091,,,,,,,,,
3705,,,62092,,,,,,,,,
3706,,,62099,,,,,,,,,
3707,631,,,,,,,,,,,
3708,,6311,,,,,,,,,,
3709,,,63111,,,,,,,,,
3710,,,63112,,,,,,,,,
3711,,,63113,,,,,,,,,
3712,,,63114,,,,,,,,,
3713,,,63119,,,,,,,,,
3714,6312,,,,,,,,,,,
3715,,,63121,,,,,,,,,
3716,,,63122,,,,,,,,,
3717,639,,,,,,,,,,,
3718,,6391,,,,,,,,,,
3719,,,,,,,,,,,,
3720,,,,,,,,,,,,
3721,,,,,,,,,,,,
3722,,,,,,,,,,,,
3723,,,63910,,,,,,,,,
3724,,6399,,,,,,,,,,
3725,,,63991,,,,,,,,,
3726,,,63992,,,,,,,,,
3727,,,63999,,,,,,,,,
3728,641,,,,,,,,,,,
3729,,6411,,,,,,,,,,
3730,,,,,,,,,,,,
3731,,,64110,,,,,,,,,
3732,,6419,,,,,,,,,,
3733,,,,,,,,,,,,
3734,,,,,,,,,,,,
3735,,,,,,,,,,,,
3736,,,64191,,,,,,,,,
3737,,,64192,Activities of specialized institutions granting credit for house purchases that,,,,,,,,
3738,,,,also take deposits,,,,,,,,
3739,,,64199,Other monetary intermediation services n.e.c.,,,,,,,,
3740,642,,,activities of holding companies,,,,,,,,
3741,,6420,,activities of holding companies,,,,,,,,
3742,,,,"This class includes the activities of holding companies, i.e. units that hold",,,,,,,,
3743,,,,the assets (owning controlling-levels of equity) of a group of subsidiary,,,,,,,,
3744,,,,corporations and whose principal activity is owning the group. The holding,,,,,,,,
3745,,,,companies in this class do not provide any other service to the businesses in,,,,,,,,
3746,,,,"which the equity is held, i.e. they do not administer or manage other units.",,,,,,,,
3747,,,64200,Activities of holding companies,,,,,,,,
3748,643,,,"Trusts, funds and other financial vehicles",,,,,,,,
3749,,6430,,"Trusts, funds and other financial vehicles",,,,,,,,
3750,,,,This class includes legal entities organized to pool securities or other financial,,,,,,,,
3751,,,,"assets, without managing, on behalf of shareholders or beneficiaries. The",,,,,,,,
3752,,,,"portfolios are customized to achieve specific investment characteristics,",,,,,,,,
3753,,,,"such as diversification, risk, rate of return, and price volatility. These entities",,,,,,,,
3754,,,,"earn interest, dividends, and other property income, but have little or no",,,,,,,,
3755,,,,employment and no revenue from the sale of services.,,,,,,,,
3756,,,64300,"Trusts, funds and other financial vehicles",,,,,,,,
3757,649,,,"Other financial service activities, except insurance and pension funding",,,,,,,,
3758,,,,activities,,,,,,,,
3759,,6491,,Financial leasing,,,,,,,,
3760,,,,This class includes leasing where the term approximately covers the expected,,,,,,,,
3761,,,,life of the asset and the lessee acquires substantially all the benefits of its use,,,,,,,,
3762,,,,and takes all the risks associated with its ownership. The ownership of the,,,,,,,,
3763,,,,asset may or may not eventually be transferred. Such leases cover all or,,,,,,,,
3764,,,,virtually all costs including interest.,,,,,,,,
3765,,,64910,Financial leasing,,,,,,,,
3766,,6492,,other credit granting,,,,,,,,
3767,,,,This class includes financial service activities primarily concerned with,,,,,,,,
3768,,,,making loans by institutions not involved in monetary intermediation (such,,,,,,,,
3769,,,,"as venture capital companies, industrial banks, investment clubs), where the",,,,,,,,
3770,,,,"granting of credit can take a variety of forms, such as loans, mortgages,",,,,,,,,
3771,,,,credit cards etc.,,,,,,,,
3772,,,,This class excludes:,,,,,,,,
3773,,,,#NAME?,,,,,,,,
3774,,,,"deposits, see 6419",,,,,,,,
3775,,,,"- operational leasing, see division 77, according to type of goods leased",,,,,,,,
3776,,,64920,Other credit granting,,,,,,,,
3777,,6499,,"Other financial service activities, except insurance and pension funding",,,,,,,,
3778,,,,"activities, n.e.c.",,,,,,,,
3779,,,,This class includes other financial service activities primarily concerned with,,,,,,,,
3780,,,,"distributing funds other than by making loans (factoring activities, writing",,,,,,,,
3781,,,,"of swaps, options and other hedging arrangements, activities of viatical",,,,,,,,
3782,,,,settlement companies),,,,,,,,
3783,,,64990,"Other financial service activities, except insurance and pension funding",,,,,,,,
3784,,,,"activities, n.e.c.",,,,,,,,
3785,,,,"DiviSion 65 : inSuranCe, reinSuranCe anD penSion FunDinG,",,,,,,,,
3786,,,,exCept CompulSory SoCial SeCurity,,,,,,,,
3787,,6511,6511,life insurance,,,,,,,,
3788,,,,"This class includes underwriting annuities and life insurance policies,",,,,,,,,
3789,,,,"disability income insurance policies, and accidental death and dismemberment",,,,,,,,
3790,,,,insurance policies (with or without substantial savings element),,,,,,,,
3791,,,65110,Life insurance,,,,,,,,
3792,,6512,6512,non-life insurance,,,,,,,,
3793,,,,This class includes provision of insurance services other than life insurance,,,,,,,,
3794,,,,"such as  accident and fire insurance, health insurance, travel insurance,",,,,,,,,
3795,,,,"property insurance, motor, marine, aviation and transport insurance,",,,,,,,,
3796,,,,pecuniary loss and liability insurance,,,,,,,,
3797,,,65120,Non-life insurance,,,,,,,,
3798,652,,,reinsurance,,,,,,,,
3799,,6520,6520,reinsurance,,,,,,,,
3800,,,,This class includes the activities of assuming all or part of the risk associated,,,,,,,,
3801,,,,with existing insurance policies originally underwritten by other insurance,,,,,,,,
3802,,,,carriers.,,,,,,,,
3803,,,65200,Reinsurance,,,,,,,,
3804,653,,,pension funding,,,,,,,,
3805,,6530,6530,pension funding,,,,,,,,
3806,,,,"This class includes legal entities (i.e. funds, plans and/or programmes)",,,,,,,,
3807,,,,organized to provide retirement income benefits exclusively for the sponsor’s,,,,,,,,
3808,,,,"employees or members. This includes pension plans with defined benefits,",,,,,,,,
3809,,,,as well as individual plans where benefits are simply defined through the,,,,,,,,
3810,,,,member’s contribution.,,,,,,,,
3811,,,65300,Pension funding,,,,,,,,
3812,,,,DiviSion 66 : other FinanCial aCtivitieS,,,,,,,,
3813,661,,,"Activities auxiliary to financial service activities, except insurance and",,,,,,,,
3814,,,,pension funding,,,,,,,,
3815,,6611,6611,Administration of financial markets,,,,,,,,
3816,,,,This class includes the operation and supervision of financial markets other,,,,,,,,
3817,,,,"than by public authorities, such as commodity contracts exchanges, futures",,,,,,,,
3818,,,,"commodity contracts exchanges, securities exchanges, stock exchanges,",,,,,,,,
3819,,,,stock or commodity options exchanges,,,,,,,,
3820,,,66110,Administration of financial markets,,,,,,,,
3821,,6612,6612,Security and commodity contracts brokerage,,,,,,,,
3822,,,,This class includes dealing in financial markets on behalf of others (e.g. stock,,,,,,,,
3823,,,,"broking) and related activities, securities brokerage, commodity contracts",,,,,,,,
3824,,,,"brokerage, activities of bureaux de change etc.",,,,,,,,
3825,,,,This class excludes:,,,,,,,,
3826,,,,"- dealing in markets on own account, see 6499",,,,,,,,
3827,,,66120,Security and commodity contracts brokerage,,,,,,,,
3828,,6619,6619,Activities auxiliary to financial service activities n.e.c.,,,,,,,,
3829,,,,"This class includes activities of investment advisors, mortgage advisors and",,,,,,,,
3830,,,,"brokers, financial transaction processing and settlement activities, trustee,",,,,,,,,
3831,,,,fiduciary and custody services on a fee or contract basis,,,,,,,,
3832,,,66190,Activities auxiliary to financial service activities n.e.c.,,,,,,,,
3833,662,,,activities auxiliary to insurance and pension funding,,,,,,,,
3834,,6621,,risk and damage evaluation,,,,,,,,
3835,,,,"This includes the provision of administration services of insurance, such as",,,,,,,,
3836,,,,assessing and settling insurance claims,,,,,,,,
3837,,,66210,Risk and damage evaluation,,,,,,,,
3838,,6622,,activities of insurance agents and brokers,,,,,,,,
3839,,,,This class includes the activities of insurance agents and brokers (insurance,,,,,,,,
3840,,,,"intermediaries) in selling, negotiating or soliciting, of annuities and insurance",,,,,,,,
3841,,,,and reinsurance policies.,,,,,,,,
3842,,,66220,Activities of insurance agents and brokers,,,,,,,,
3843,,6629,,other activities auxiliary to insurance and pension funding,,,,,,,,
3844,,,,This class includes activities involved in or closely related to insurance,,,,,,,,
3845,,,,and pension funding (except claims adjusting and activities of insurance,,,,,,,,
3846,,,,agents),,,,,,,,
3847,,,66290,Other activities auxiliary to insurance and pension funding,,,,,,,,
3848,663,,,Fund management activities,,,,,,,,
3849,,6630,,Fund management activities,,,,,,,,
3850,,,66301,Management of mutual funds,,,,,,,,
3851,,,66302,Management of pension funds,,,,,,,,
3852,,,66309,Management of other investment funds,,,,,,,,
3853,,,,SECTION L : REAL ESTATE ACTIVITIES,,,,,,,,
3854,,,,DiviSion 68 : real eState aCtivitieS,,,,,,,,
3855,681,,,real estate activities with own or leased property,,,,,,,,
3856,,6810,,real estate activities with own or leased property,,,,,,,,
3857,,,,"This class includes buying, selling, renting and operating of self-owned or",,,,,,,,
3858,,,,"leased real estate, providing of homes and furnished or unfurnished flats",,,,,,,,
3859,,,,"or apartments for more permanent use, typically on a monthly or annual",,,,,,,,
3860,,,,"basis, development of building projects for own operation, i.e. for renting",,,,,,,,
3861,,,,"of space in these buildings, subdividing real estate into lots, without land",,,,,,,,
3862,,,,"improvement, operation of residential mobile home sites",,,,,,,,
3863,,,,This class excludes:,,,,,,,,
3864,,,,"- development of building projects for sale, see 4100",,,,,,,,
3865,,,,"- subdividing and improving of land, see 4290",,,,,,,,
3866,,,,"- operation of hotels, rooming houses, camps, trailer camps and other non-",,,,,,,,
3867,,,,"residential or short-stay accommodation places, see 5510, 5520",,,,,,,,
3868,,,,"- operation of suite hotels and similar accommodations, see 5510",,,,,,,,
3869,,,68100,Real estate activities with own or leased property,,,,,,,,
3870,682,,,real estate activities on a fee or contract basis,,,,,,,,
3871,,6820,,real estate activities on a fee or contract basis,,,,,,,,
3872,,,,This class includes the provision of real estate activities on a fee or contract,,,,,,,,
3873,,,,"basis including real estate related services such as, activities of real estate",,,,,,,,
3874,,,,"agents and brokers, intermediation in buying, selling and renting of real",,,,,,,,
3875,,,,"estate on a fee or contract basis, management of real estate on a fee or",,,,,,,,
3876,,,,"contract basis, appraisal services for real estate, real estate escrow agents",,,,,,,,
3877,,,68200,Real estate activities on a fee or contract basis,,,,,,,,
3878,,"SECTION M : PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,,
3879,,DiviSion 69 : leGal anD aCCountinG aCtivitieS,,,,,,,,,,
3880,691,,,legal activities,,,,,,,,
3881,,6910,6910,legal activities,,,,,,,,
3882,,,,This class includes legal representation of one party’s interest against,,,,,,,,
3883,,,,"another party, whether or not before courts or other judicial bodies by, or",,,,,,,,
3884,,,,"under supervision of, persons who are members of the bar, other activities",,,,,,,,
3885,,,,"of notaries public, civil law notaries, bailiffs, arbitrators, examiners and",,,,,,,,
3886,,,,referees,,,,,,,,
3887,,,,This class excludes:,,,,,,,,
3888,,,,"- law court activities, see 8423",,,,,,,,
3889,,,69100,Legal activities,,,,,,,,
3890,692,,,"accounting, bookkeeping and auditing activities; tax consultancy",,,,,,,,
3891,,6920,6920,"accounting, bookkeeping and auditing activities; tax consultancy",,,,,,,,
3892,,,,This class excludes:,,,,,,,,
3893,,,,"- data-processing and tabulation activities, see 6311",,,,,,,,
3894,,,,#NAME?,,,,,,,,
3895,,,,"accounting programmes, budgetary control procedures, see 7020",,,,,,,,
3896,,,,"- bill collection, see 8291",,,,,,,,
3897,,,69201,"Accounting, bookkeeping and auditing activities",,,,,,,,
3898,,,69202,Tax consultancy,,,,,,,,
3899,DiviSion 70 :a,,,CtivitieS oF heaD oFFiCeS; manaGement ConSultanCya CtivitieS,,,,,,,,
3900,701,,,Activities of head offices,,,,,,,,
3901,,7010,7010,Activities of head offices,,,,,,,,
3902,,,,This class includes the overseeing and managing of other units of the,,,,,,,,
3903,,,,company or enterprise; undertaking the strategic or organizational planning,,,,,,,,
3904,,,,and decision making role of the company or enterprise. Units in this class,,,,,,,,
3905,,,,exercise operational control and manage the day-to-day operations of their,,,,,,,,
3906,,,,related units,,,,,,,,
3907,,,70100,Activities of head offices,,,,,,,,
3908,702,,,management consultancy activities,,,,,,,,
3909,,7020,7020,management consultancy activities,,,,,,,,
3910,,,,"This class includes the provision of advice, guidance and operational",,,,,,,,
3911,,,,"assistance to businesses and other organizations on management issues, such",,,,,,,,
3912,,,,as strategic and organizational planning; decision areas that are financial in,,,,,,,,
3913,,,,"nature; marketing objectives and policies; human resource policies, practices",,,,,,,,
3914,,,,and planning; production scheduling and control planning,,,,,,,,
3915,,,70200,Management consultancy activities,,,,,,,,
3916,,,,DiviSion 71 : arChiteCture anD enGineerinG aCtivitieS;,,,,,,,,
3917,,,,teChniCal teStinG anD analySiS,,,,,,,,
3918,711,,,architectural and engineering activities and related technical,,,,,,,,
3919,,,,consultancy,,,,,,,,
3920,,7110,7110,architectural and engineering activities and related technical,,,,,,,,
3921,,,,consultancy,,,,,,,,
3922,,,,"This class includes architectural consulting activities, machinery, industrial",,,,,,,,
3923,,,,"process control and industrial plant design, engineering design and",,,,,,,,
3924,,,,"consulting activities for, geophysical, geologic and seismic surveying,",,,,,,,,
3925,,,,geodetic surveying activities,,,,,,,,
