group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
,,,"- reproduction of software, see 1820",,,,,,,,
,,,"- retail sale of non-customized software, see 4741",,,,,,,,
,,,"- production of software not associated with publishing, see 6201",,,,,,,,
,,,- on-line provision of software (application hosting and application service,,,,,,,,
,,,"provisioning), see 6311",,,,,,,,
,,58201,Publishing of operating systems and system software,,,,,,,,
,,58202,Publishing of operating business and other applications,,,,,,,,
,,58203,Publishing of computer games for all platforms,,,,,,,,
591,,,"motion picture, video and television programme activities",,,,,,,,
,5911,,"motion picture, video and television programme production activities",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,- film duplicating (except reproduction of motion picture film for theatrical,,,,,,,,
,,,"distribution) as well as audio and video tape, CD or DVD reproduction from",,,,,,,,
,,,"master copies, see 1820",,,,,,,,
,,,"- wholesale of recorded video tapes, CD-s, DVD-s, see 4649",,,,,,,,
,,,"- wholesale of blank video tapes, CD-s, see 4652",,,,,,,,
,,,"- retail trade of video tapes, CD-s, DVD-s, see 4762",,,,,,,,
,,,"- post-production activities, see 5912",,,,,,,,
,,,"- sound recording and recording of books on tape, see 5920",,,,,,,,
,,,"- television broadcasting, see 602",,,,,,,,
,,,"- film processing other than for the motion picture industry, see 7420",,,,,,,,
,,,"- activities of personal theatrical or artistic agents or agencies, see 7490",,,,,,,,
,,,"- renting of video tapes, DVD-s to the general public, see 7722",,,,,,,,
,,,real-time (i.e. simultaneous) closed captioning of live television,,,,,,,,
,,,"performances of meetings, conferences, etc., see 8299",,,,,,,,
,,," activities of own account actors, cartoonists, directors, stage designers and",,,,,,,,
,,,"technical specialists, see 9000",,,,,,,,
,,59111,Production of motion picture,,,,,,,,
,,59112,Video production,,,,,,,,
,,59113,Production of television programmes or television commercials,,,,,,,,
,5912,,"motion picture, video and television programme post-production",,,,,,,,
,,,activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,- film duplicating (except reproduction of motion picture film for theatrical,,,,,,,,
,,,"distribution) as well as audio and video tape, CD or DVD reproduction from",,,,,,,,
,,,"master copies, see 1820",,,,,,,,
,,,"- wholesale of recorded video tapes, CD-s, DVD-s, see 4649",,,,,,,,
,,,"- wholesale of blank video tapes, CD-s, see 4652",,,,,,,,
,,,"- retail trade of video tapes, CD-s, DVD-s, see 4762",,,,,,,,
,,,"- film processing other than for the motion picture industry, see 7420",,,,,,,,
,,,"- renting of video tapes, DVD-s to the general public, see 7722",,,,,,,,
,,,"activities of own account actors, cartoonists, directors, stage designers and",,,,,,,,
,,,"technical specialists, see 90000",,,,,,,,
,,59121,Post production activities of motion picture,,,,,,,,
,,59122,Post production activities of television programmes or television,,,,,,,,
,,,commercials,,,,,,,,
,,59123,Post production activities of video production,,,,,,,,
,5913,,"motion picture, video and television programme distribution activities",,,,,,,,
,,59131,Motion picture distribution,,,,,,,,
,,59132,"Distribution of video tapes, CD and DVDs",,,,,,,,
,,59133,Distribution of television programme,,,,,,,,
,5914,,motion picture projection activities,,,,,,,,
,,59141,"Motion picture or video tape projection in cinemas, in the open air or in",,,,,,,,
,,,other projection facilities,,,,,,,,
,,59142,Activities of cine-clubs,,,,,,,,
592,,,Sound recording and music publishing activities,,,,,,,,
,5920,,Sound recording and music publishing activitiest,,,,,,,,
,,,This includes the activities of production of original (sound) master,,,,,,,,
,,,"recordings, such as tapes, CD-s. This class also includes the activities of",,,,,,,,
,,,music publishing,,,,,,,,
,,59201,Activities of sound recording in studio or elsewhere,,,,,,,,
,,59202,Activities of misic publishing,,,,,,,,
,,DiviSion 60 : proGramminG anD broaDCaStinG aCtivitieS,,,,,,,,,
601,,,radio broadcasting,,,,,,,,
,6010,,radio broadcasting,,,,,,,,
,,,This class includes broadcasting audio signals through radio broadcasting,,,,,,,,
,,,"studios and facilities for the transmission of aural programming to the public,",,,,,,,,
,,,"to affiliates or to subscribers, activities of radio networks, i.e. assembling",,,,,,,,
,,,and transmitting aural programming to the affiliates or subscribers via over-,,,,,,,,
,,,"the-air broadcasts, cable or satellite, radio broadcasting activities over the",,,,,,,,
,,,Internet (Internet radio stations),,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- the production of taped radio programming, see class 5920",,,,,,,,
,,60100,Radio broadcasting,,,,,,,,
602,,,television programming and broadcasting activities,,,,,,,,
,6020,,television programming and broadcasting activities,,,,,,,,
,,,"This class includes creation of a complete television channel programme,",,,,,,,,
,,,"from purchased programme components (e.g. movies, documentaries etc.),",,,,,,,,
,,,"self produced programme components (e.g. local news, live reports) or a",,,,,,,,
,,,combination thereof. This complete television programme can be either,,,,,,,,
,,,broadcast by the producing unit or produced for transmission by third party,,,,,,,,
,,,"distributors, such as cable companies or satellite television providers. The",,,,,,,,
,,,programming may be of a general or specialized nature (e.g. limited formats,,,,,,,,
,,,"such as news, sports, education or youth oriented programming), may be",,,,,,,,
,,,made freely available to users or may be available only on a subscription,,,,,,,,
,,,"basis. This class also includes programming of video-on-demand channels,",,,,,,,,
,,,data broadcasting integrated with television broadcasting.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- production of television programme elements (e.g. movies, documentaries,",,,,,,,,
,,,"commercials), see 5911",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"cable or satellite to viewers, see division 61",,,,,,,,
611,,,Wired telecommunications activities,,,,,,,,
,6110,,Wired telecommunications activities,,,,,,,,
,,61101,"Activities of basic telecom services: telephone, telex and telegraph (includes",,,,,,,,
,,,the activities of STD/ISD booths),,,,,,,,
,,61102,Maintenance of telecom network,,,,,,,,
,,61103,Activities of the cable operators,,,,,,,,
,,61104,Activities of providing internet access by the operator of the wired,,,,,,,,
,,,infrastructure,,,,,,,,
612,,,Wireless telecommunications activities,,,,,,,,
,6120,,Wireless telecommunications activities,,,,,,,,
,,61201,Activities of Internet access by the operator of the wireless infrastructure,,,,,,,,
,,61202,"Activities of maintaining and operating pageing, cellur and other",,,,,,,,
,,,tetecommunication networks,,,,,,,,
,,61209,Activities of other wireless telecommunications activities,,,,,,,,
613,,,Satellite telecommunications activities,,,,,,,,
,6130,,Satellite telecommunications activities,,,,,,,,
,,61301,Activity of Internet access by the operator of the satellite infrastructure,,,,,,,,
,,61309,Other satellite telecommunications activities,,,,,,,,
619,,,other telecommunications activities,,,,,,,,
,6190,,other telecommunications activities,,,,,,,,
,,,"This class includes specialized telecommunications applications, such as",,,,,,,,
,,,"satellite tracking, communications telemetry, and radar station operations,",,,,,,,,
,,,"operation of satellite terminal station, internet access over networks such as",,,,,,,,
,,,dial-up internet access etc.,,,,,,,,
,,61900,Other telecommunications activities,,,,,,,,
"DiviSion 62 : Computer proGramminG, ConSultanCy anD relateD aCtivitieS",,,,,,,,,,,
620,,,"Computer programming, consultancy and related activities",,,,,,,,
,6201,,Computer programming activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- publishing packaged software, see 5820",,,,,,,,
,,,"- planning and designing computer systems that integrate computer hardware,",,,,,,,,
,,,"software and communication technologies, even though providing software",,,,,,,,
,,,"might be an integral part, see 6202",,,,,,,,
,,62011,"Writing , modifying, testing of computer program to meet the needs of a",,,,,,,,
,,,particular client excluding web-page designing,,,,,,,,
,,62012,Web-page designing,,,,,,,,
,,62013,Providing software support and maintenance to the clients,,,,,,,,
6202,,,Computer consultancy and computer facilities management activities,,,,,,,,
,,,"This class includes installation of computer system, and train and support the",,,,,,,,
,,,users of the system and providing hardware support including Planning and,,,,,,,,
,,,"designing of computer systems that integrate computer hardware, software",,,,,,,,
,,,and communication technologies,,,,,,,,
,,62020,Computer consultancy and computer facilities management activities,,,,,,,,
,6209,,other information technology and computer service activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- computer programming, see 6201",,,,,,,,
,,62091,Software installation,,,,,,,,
,,62092,Computer disaster recovery,,,,,,,,
,,62099,Other information technology and computer service activities n.e.c,,,,,,,,
631,,,"Data processing, hosting and related activities; web portals",,,,,,,,
,6311,,"Data processing, hosting and related activities",,,,,,,,
,,63111,Data processing activities including report writing,,,,,,,,
,,63112,Web hosting activities,,,,,,,,
,,63113,Providing general time-share mainframe facilities to clients,,,,,,,,
,,63114,Providing data entry services,,,,,,,,
,,63119,"Other data processing, hosting and related activities n.e.c.",,,,,,,,
6312,,,Web portals,,,,,,,,
,,63121,Operation of web sites that use a search engine to generate and maintain,,,,,,,,
,,,extensive databases of internet addresses and content in an easily searchable,,,,,,,,
,,,format,,,,,,,,
,,63122,"Operation of other websites that act as portals to the Internet, such as media",,,,,,,,
,,,sites providing periodically updated content,,,,,,,,
639,,,other information service activities,,,,,,,,
,6391,,news agency activities,,,,,,,,
,,,This class includes news syndicate and news agency activities furnishing,,,,,,,,
,,,"news, pictures and features to the media",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- activities of independent photojournalists, see 7420",,,,,,,,
,,,"- activities of independent journalists, see 9000",,,,,,,,
,,63910,News agency activities,,,,,,,,
,6399,,other information service activities n.e.c.,,,,,,,,
,,63991,Telephone based information services,,,,,,,,
,,63992,Activities of cyber café,,,,,,,,
,,63999,Other information service activities n.e.c.,,,,,,,,
641,,,monetary intermediation,,,,,,,,
,6411,,Central banking,,,,,,,,
,,,This class includes activities of Reserve Bank of India,,,,,,,,
,,64110,Central banking,,,,,,,,
,6419,,other monetary intermediation,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- non-depository institutions granting credit for house purchase, see 6492",,,,,,,,
,,,"- credit card transaction processing and settlement activities, see 6619",,,,,,,,
,,64191,"Monetary intermediation of commercial banks, saving banks. postal savings",,,,,,,,
,,,bank and discount houses,,,,,,,,
,,64192,Activities of specialized institutions granting credit for house purchases that,,,,,,,,
,,,also take deposits,,,,,,,,
,,64199,Other monetary intermediation services n.e.c.,,,,,,,,
642,,,activities of holding companies,,,,,,,,
,6420,,activities of holding companies,,,,,,,,
,,,"This class includes the activities of holding companies, i.e. units that hold",,,,,,,,
,,,the assets (owning controlling-levels of equity) of a group of subsidiary,,,,,,,,
,,,corporations and whose principal activity is owning the group. The holding,,,,,,,,
,,,companies in this class do not provide any other service to the businesses in,,,,,,,,
,,,"which the equity is held, i.e. they do not administer or manage other units.",,,,,,,,
,,64200,Activities of holding companies,,,,,,,,
643,,,"Trusts, funds and other financial vehicles",,,,,,,,
,6430,,"Trusts, funds and other financial vehicles",,,,,,,,
,,,This class includes legal entities organized to pool securities or other financial,,,,,,,,
,,,"assets, without managing, on behalf of shareholders or beneficiaries. The",,,,,,,,
,,,"portfolios are customized to achieve specific investment characteristics,",,,,,,,,
,,,"such as diversification, risk, rate of return, and price volatility. These entities",,,,,,,,
,,,"earn interest, dividends, and other property income, but have little or no",,,,,,,,
,,,employment and no revenue from the sale of services.,,,,,,,,
,,64300,"Trusts, funds and other financial vehicles",,,,,,,,
649,,,"Other financial service activities, except insurance and pension funding",,,,,,,,
,,,activities,,,,,,,,
,6491,,Financial leasing,,,,,,,,
,,,This class includes leasing where the term approximately covers the expected,,,,,,,,
,,,life of the asset and the lessee acquires substantially all the benefits of its use,,,,,,,,
,,,and takes all the risks associated with its ownership. The ownership of the,,,,,,,,
,,,asset may or may not eventually be transferred. Such leases cover all or,,,,,,,,
,,,virtually all costs including interest.,,,,,,,,
,,64910,Financial leasing,,,,,,,,
,6492,,other credit granting,,,,,,,,
,,,This class includes financial service activities primarily concerned with,,,,,,,,
,,,making loans by institutions not involved in monetary intermediation (such,,,,,,,,
,,,"as venture capital companies, industrial banks, investment clubs), where the",,,,,,,,
,,,"granting of credit can take a variety of forms, such as loans, mortgages,",,,,,,,,
,,,credit cards etc.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"deposits, see 6419",,,,,,,,
,,,"- operational leasing, see division 77, according to type of goods leased",,,,,,,,
,,64920,Other credit granting,,,,,,,,
,6499,,"Other financial service activities, except insurance and pension funding",,,,,,,,
,,,"activities, n.e.c.",,,,,,,,
,,,This class includes other financial service activities primarily concerned with,,,,,,,,
,,,"distributing funds other than by making loans (factoring activities, writing",,,,,,,,
,,,"of swaps, options and other hedging arrangements, activities of viatical",,,,,,,,
,,,settlement companies),,,,,,,,
,,64990,"Other financial service activities, except insurance and pension funding",,,,,,,,
,,,"activities, n.e.c.",,,,,,,,
,,,exCept CompulSory SoCial SeCurity,,,,,,,,
,6511,6511,life insurance,,,,,,,,
,,,"This class includes underwriting annuities and life insurance policies,",,,,,,,,
,,,"disability income insurance policies, and accidental death and dismemberment",,,,,,,,
,,,insurance policies (with or without substantial savings element),,,,,,,,
,,65110,Life insurance,,,,,,,,
,6512,6512,non-life insurance,,,,,,,,
,,,This class includes provision of insurance services other than life insurance,,,,,,,,
,,,"such as  accident and fire insurance, health insurance, travel insurance,",,,,,,,,
,,,"property insurance, motor, marine, aviation and transport insurance,",,,,,,,,
,,,pecuniary loss and liability insurance,,,,,,,,
,,65120,Non-life insurance,,,,,,,,
652,,,reinsurance,,,,,,,,
,6520,6520,reinsurance,,,,,,,,
,,,This class includes the activities of assuming all or part of the risk associated,,,,,,,,
,,,with existing insurance policies originally underwritten by other insurance,,,,,,,,
,,,carriers.,,,,,,,,
,,65200,Reinsurance,,,,,,,,
653,,,pension funding,,,,,,,,
,6530,6530,pension funding,,,,,,,,
,,,"This class includes legal entities (i.e. funds, plans and/or programmes)",,,,,,,,
,,,organized to provide retirement income benefits exclusively for the sponsorâ€™s,,,,,,,,
,,,"employees or members. This includes pension plans with defined benefits,",,,,,,,,
,,,as well as individual plans where benefits are simply defined through the,,,,,,,,
,,,memberâ€™s contribution.,,,,,,,,
,,65300,Pension funding,,,,,,,,
661,,,"Activities auxiliary to financial service activities, except insurance and",,,,,,,,
,,,pension funding,,,,,,,,
,6611,6611,Administration of financial markets,,,,,,,,
,,,This class includes the operation and supervision of financial markets other,,,,,,,,
,,,"than by public authorities, such as commodity contracts exchanges, futures",,,,,,,,
,,,"commodity contracts exchanges, securities exchanges, stock exchanges,",,,,,,,,
,,,stock or commodity options exchanges,,,,,,,,
,,66110,Administration of financial markets,,,,,,,,
,6612,6612,Security and commodity contracts brokerage,,,,,,,,
,,,This class includes dealing in financial markets on behalf of others (e.g. stock,,,,,,,,
,,,"broking) and related activities, securities brokerage, commodity contracts",,,,,,,,
,,,"brokerage, activities of bureaux de change etc.",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- dealing in markets on own account, see 6499",,,,,,,,
,,66120,Security and commodity contracts brokerage,,,,,,,,
,6619,6619,Activities auxiliary to financial service activities n.e.c.,,,,,,,,
,,,"This class includes activities of investment advisors, mortgage advisors and",,,,,,,,
,,,"brokers, financial transaction processing and settlement activities, trustee,",,,,,,,,
,,,fiduciary and custody services on a fee or contract basis,,,,,,,,
,,66190,Activities auxiliary to financial service activities n.e.c.,,,,,,,,
662,,,activities auxiliary to insurance and pension funding,,,,,,,,
,6621,,risk and damage evaluation,,,,,,,,
,,,"This includes the provision of administration services of insurance, such as",,,,,,,,
,,,assessing and settling insurance claims,,,,,,,,
,,66210,Risk and damage evaluation,,,,,,,,
,6622,,activities of insurance agents and brokers,,,,,,,,
,,,This class includes the activities of insurance agents and brokers (insurance,,,,,,,,
,,,"intermediaries) in selling, negotiating or soliciting, of annuities and insurance",,,,,,,,
,,,and reinsurance policies.,,,,,,,,
,,66220,Activities of insurance agents and brokers,,,,,,,,
,6629,,other activities auxiliary to insurance and pension funding,,,,,,,,
,,,This class includes activities involved in or closely related to insurance,,,,,,,,
,,,and pension funding (except claims adjusting and activities of insurance,,,,,,,,
,,,agents),,,,,,,,
,,66290,Other activities auxiliary to insurance and pension funding,,,,,,,,
663,,,Fund management activities,,,,,,,,
,6630,,Fund management activities,,,,,,,,
,,66301,Management of mutual funds,,,,,,,,
,,66302,Management of pension funds,,,,,,,,
,,66309,Management of other investment funds,,,,,,,,
681,,,real estate activities with own or leased property,,,,,,,,
,6810,,real estate activities with own or leased property,,,,,,,,
,,,"This class includes buying, selling, renting and operating of self-owned or",,,,,,,,
,,,"leased real estate, providing of homes and furnished or unfurnished flats",,,,,,,,
,,,"or apartments for more permanent use, typically on a monthly or annual",,,,,,,,
,,,"basis, development of building projects for own operation, i.e. for renting",,,,,,,,
,,,"of space in these buildings, subdividing real estate into lots, without land",,,,,,,,
,,,"improvement, operation of residential mobile home sites",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- development of building projects for sale, see 4100",,,,,,,,
,,,"- subdividing and improving of land, see 4290",,,,,,,,
,,,"- operation of hotels, rooming houses, camps, trailer camps and other non-",,,,,,,,
,,,"residential or short-stay accommodation places, see 5510, 5520",,,,,,,,
,,,"- operation of suite hotels and similar accommodations, see 5510",,,,,,,,
,,68100,Real estate activities with own or leased property,,,,,,,,
682,,,real estate activities on a fee or contract basis,,,,,,,,
,6820,,real estate activities on a fee or contract basis,,,,,,,,
,,,This class includes the provision of real estate activities on a fee or contract,,,,,,,,
,,,"basis including real estate related services such as, activities of real estate",,,,,,,,
,,,"agents and brokers, intermediation in buying, selling and renting of real",,,,,,,,
,,,"estate on a fee or contract basis, management of real estate on a fee or",,,,,,,,
,,,"contract basis, appraisal services for real estate, real estate escrow agents",,,,,,,,
,,68200,Real estate activities on a fee or contract basis,,,,,,,,
,"SECTION M : PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,,,,,,,,
,DiviSion 69 : leGal anD aCCountinG aCtivitieS,,,,,,,,,,
691,,,legal activities,,,,,,,,
,6910,6910,legal activities,,,,,,,,
,,,This class includes legal representation of one partyâ€™s interest against,,,,,,,,
,,,"another party, whether or not before courts or other judicial bodies by, or",,,,,,,,
,,,"under supervision of, persons who are members of the bar, other activities",,,,,,,,
,,,"of notaries public, civil law notaries, bailiffs, arbitrators, examiners and",,,,,,,,
,,,referees,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- law court activities, see 8423",,,,,,,,
,,69100,Legal activities,,,,,,,,
692,,,"accounting, bookkeeping and auditing activities; tax consultancy",,,,,,,,
,6920,6920,"accounting, bookkeeping and auditing activities; tax consultancy",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- data-processing and tabulation activities, see 6311",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"accounting programmes, budgetary control procedures, see 7020",,,,,,,,
,,,"- bill collection, see 8291",,,,,,,,
,,69201,"Accounting, bookkeeping and auditing activities",,,,,,,,
,,69202,Tax consultancy,,,,,,,,
DiviSion 70 :a,,,CtivitieS oF heaD oFFiCeS; manaGement ConSultanCya CtivitieS,,,,,,,,
701,,,Activities of head offices,,,,,,,,
,7010,7010,Activities of head offices,,,,,,,,
,,,This class includes the overseeing and managing of other units of the,,,,,,,,
,,,company or enterprise; undertaking the strategic or organizational planning,,,,,,,,
,,,and decision making role of the company or enterprise. Units in this class,,,,,,,,
,,,exercise operational control and manage the day-to-day operations of their,,,,,,,,
,,,related units,,,,,,,,
,,70100,Activities of head offices,,,,,,,,
702,,,management consultancy activities,,,,,,,,
,7020,7020,management consultancy activities,,,,,,,,
,,,"This class includes the provision of advice, guidance and operational",,,,,,,,
,,,"assistance to businesses and other organizations on management issues, such",,,,,,,,
,,,as strategic and organizational planning; decision areas that are financial in,,,,,,,,
,,,"nature; marketing objectives and policies; human resource policies, practices",,,,,,,,
,,,and planning; production scheduling and control planning,,,,,,,,
,,70200,Management consultancy activities,,,,,,,,
,,,teChniCal teStinG anD analySiS,,,,,,,,
711,,,architectural and engineering activities and related technical,,,,,,,,
,,,consultancy,,,,,,,,
,7110,7110,architectural and engineering activities and related technical,,,,,,,,
,,,consultancy,,,,,,,,
,,,"This class includes architectural consulting activities, machinery, industrial",,,,,,,,
,,,"process control and industrial plant design, engineering design and",,,,other,,,,
,,,"consulting activities for, geophysical, geologic and seismic surveying,",,,,,,,,
,,,geodetic surveying activities,,,,,,,,
,,71100,Architectural and engineering activities and related technical consultancy,,,,,,,,
712,,,technical testing and analysis,,,,,,,,
,7120,,technical testing and analysis,,,,,,,,
,,,This class includes the performance of,"physical,",chemical,and,,,,,
,,,"analytical testing of all types of materials and products, certification of",,,,,,,,
,,,"products, including consumer goods, motor vehicles, aircraft, pressurized",,,,and,,,,
,,,"containers, nuclear plants etc. periodic road-safety testing of motor vehicles,",,,,,,,,
,,,"testing with use of models or mock-ups (e.g. of aircraft, ships, dams etc.),",,,,and,,,,
,,,operation of police laboratories,,,,,,,,
,,71200,Technical testing and analysis,,,,,,,,
,DiviSion 72 : SCientiFiC reSearCh anD Development,,,,,,,,,,
721,,,research and experimental development,on natural,sciences,,,,,,
,,,engineering,,,,,,,,
,7210,,research and experimental development,on natural,sciences,,,,,,
,,,engineering,,,,and,,,,
,,,"This class includes, research and development on natural sciences, research",,,,,,,,
,,,"and development on engineering and technology, research and development",,,,and,,,,
,,,"on medical sciences, research and development on biotechnology, research",,,,,,,,
,,,"and development on agricultural sciences, interdisciplinary research and",,,,and,,,,
,,,development predominantly on natural sciences and engineering,,,,,,,,
,,72100,Research and experimental development,on natural,sciences,,,,,,
,,,engineering,,,,,,,,
722,,,research and experimental development,on social,sciences,,,,,,
,,,humanities,,,,,,,,
,7220,,research and experimental development,on social,sciences,,,,,,
,,,humanities,,,,,,,,
,,,"This class includes research and development on social sciences, research",,,,,,,,
,,,"and development on humanities, interdisciplinary research and development",,,,,,,,
,,,predominantly on social sciences and humanities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- market research, see 7320",,,,,,,,
,,72200,Research and experimental development on social sciences and humanities,,,,,,,,
,,DiviSion 73 : aDvertiSinG anD market reSearCh,,,,,,,,,
731,,,advertising,,,,,,,,
,7310,,advertising,,,,,,,,
,,,This class includes the provision of a full range of advertising services (i.e.,,,,,,,,
,,,"through in-house capabilities or subcontracting), including advice, creative",,,,,,,,
,,,"services, production of advertising material, media planning, and buying",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- publishing of advertising material, see 5819",,,,,,,,
,,,#NAME?,,,,,,,,
,,5911,5911,,,,,,,,
,,,"- public-relations activities, see 7020",,,,,,,,
,,,"- market research, see 7320",,,,,,,,
,,,"- advertising photography, see 7420",,,,,,,,
,,,"- convention and trade show organizers, see 8230",,,,,,,,
,,,"- direct mailing activities (addressing, pre-sorting etc.), see 8299",,,,,,,,
,,73100,Advertising,,,,,,,,
732,,,market research and public opinion polling,,,,,,,,
,7320,,market research and public opinion polling,,,,,,,,
,,,"This class includes investigation into market potential,",acceptance,and,,,,,,
,,,familiarity of products and buying habits of consumers for the purpose of,,,,,,,,
,,,"sales promotion and development of new products, including statistical",,,,,,,,
,,,"analyses of the results, investigation into collective opinions of the public",,,,,,,,
,,,"about political, economic and social issues and statistical analysis thereof",,,,,,,,
,,73200,Market research and public opinion polling,,,,,,,,
,,"DiviSion 74 : other proFeSSional, SCientiFiC anD teChniCal aCtivitieS",,,,,,,,,
741,,,Specialized design activities,,,,,,,,
,7410,,Specialized design activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- architectural and engineering design, see 7110",,,,,,,,
,,74101,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture",,,,,,,,
,,,and other fashion goods as well as other personal or household goods,,,,,,,,
,,74102,Activities of interior decorators,,,,,,,,
,,74103,Services of graphic designers,,,,,,,,
,,74109,Other specialized design activities n.e.c.,,,,,,,,
742,,,photographic activities,,,,,,,,
,7420,,photographic activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"industries, see 5911",,,,,,,,
,,,"- cartographic and spatial information activities, see 7110",,,,,,,,
,,74201,Commercial and consumer photograph production,,,,,,,,
,,74202,Photographic film processing,,,,,,,,
,,74203,Activities of photojournalists,,,,,,,,
,,74204,Microfilming of documents,,,,,,,,
,,74209,Other photographic activities,,,,,,,,
749,,,"Other professional, scientific and technical activities n.e.c.",,,,,,,,
,7490,,"Other professional, scientific and technical activities n.e.c.",,,,,,,,
,,74901,Business brokerage activities,,,,,,,,
,,74902,Patent brokerage activities,,,,,,,,
,,74903,Weather forecasting activities,,,,,,,,
,,74904,Security consulting,,,,,,,,
,,74909,"Other professional, scientific and technical activities n.e.c.",,,,,,,,
750,,,veterinary activities,,,,,,,,
,7500,,veterinary activities,,,,,,,,
,,,These activities include the provision of animal health care and control,,,,,,,,
,,,activities for farm animals or pet animals. These activities are carried out,,,,,,,,
,,,by qualified veterinarians in veterinary hospitals. It also includes animal,,,,,,,,
,,,ambulance activities,,,,,,,,
,,75000,Veterinary activities,,,,,,,,
771,,,renting and leasing of motor vehicles,,,,,,,,
,7710,7710,renting and leasing of motor vehicles,,,,,,,,
,,,This class includes renting and operational leasing of passenger cars (without,,,,,,,,
,,,"drivers), trucks, utility trailers and recreational vehicles",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- renting or leasing of vehicles or trucks with driver, see 4922, 4923",,,,,,,,
,,,"- financial leasing, see 6491",,,,,,,,
,,77100,Renting and leasing of motor vehicles,,,,,,,,
772,,,renting and leasing of personal and household goods,,,,,,,,
,7721,7721,renting and leasing of recreational and sports goods,,,,,,,,
,,,This class includes rental of recreational and sports equipment such as,,,,,,,,
,,,"pleasure boats, canoes, sailboats, bicycles and other sports equipments",,,,,,,,
,,77210,Renting and leasing of recreational and sports goods,,,,,,,,
,7722,7722,renting of video tapes and disks,,,,,,,,
,,77220,Renting of video tapes and disks,,,,,,,,
,7729,7729,renting and leasing of other personal and household goods n.e.c.,,,,,,,,
,,77291,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,",,,,,,,,
,,,household electrical and electronic equipments etc.,,,,,,,,
,,77292,"Renting of books, journals and magazines",,,,,,,,
,,77293,"Renting of jewellery, musical instruments, scenery and costumes",,,,,,,,
,,77294,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,",,,,,,,,
,,,household goods,,,,,,,,
,,77299,Renting of other personal and household goods n.e.c.,,,,,,,,
773,,,"renting and leasing of other machinery, equipment and tangible goods",,,,,,,,
,,,n.e.c.,,,,,,,,
,7730,7730,"renting and leasing of other machinery, equipment and tangible goods",,,,,,,,
,,,n.e.c.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- renting of agricultural and forestry machinery or equipment with operator,",,,,,,,,
,,,"see 0161, 0240",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"operator, see division 43",,,,,,,,
,,,"- renting of water-transport equipment with operator, see division 50",,,,,,,,
,,,"- renting of air-transport equipment with operator, see division 51",,,,,,,,
,,,"- financial leasing, see 6491",,,,,,,,
,,,"- renting of pleasure boats, see 7721",,,,construction,and,civil-engineering,,
,,,"- renting of bicycles, see 7721",,,,,,,,
,,77301,"Renting and operational leasing, without operator, of other machinery and",,,,,,,,
,,,equipment that are generally used as capital goods by industries,,,,,,,,
,,77302,Renting and operational leasing of agricultural and forestry machinery and,,,,,,,,
,,,equipment without operator,,,,,,,,
,,77303,Renting and,operational,leasing,of,water-transport,equipment,without,,
,,,machinery and equipment without operator,,,,,,,,
,,77304,Renting and operational leasing of office machinery and equipment without,,,,,,,,
,,,operator,,,,,,,,
,,77305,Renting and operational leasing of land-transport equipment (other than,,,,,,,,
,,,motor vehicles) without drivers,,,,and equipment,,n.e.c. without,,
,,77306,Renting and,operational,leasing,of,,,,,
,,,operator,,,,,,,,
,,77307,Renting and operational leasing of air transport equipment without operator,,,,,,,,
,,77308,Renting of other tangible goods with out operator (includes renting of,,,,,,,,
,,,"containers, pallets, animals etc.)",,,,,,,,
,,77309,Renting and,leasing of other,machinery,,,,,,
,,,operator,,,,,,,,
774,,,Leasing of nonfinancial intangible assets,,,,,,,,
,7740,,Leasing of nonfinancial intangible assets,,,,,,,,
,,,This class includes the activities of allowing others to use non-financial,,,,,,,,
,,,assets for which a royalty payment or licensing fee is paid to the asset holder.,,,,,,,,
